Time,Diastolic
0.0,88.0
0.1666666666666666,87.7999199679872
0.3333333333333333,87.59983993597439
0.5,87.39975990396158
0.6666666666666666,87.19967987194877
0.8333333333333333,87.0
1.0,87.0
1.1666666666666663,87.0
1.3333333333333333,87.0
1.5,87.0
1.6666666666666663,86.96525252525254
1.8333333333333333,86.76323232323233
2.0,86.56121212121212
2.1666666666666665,86.35919191919193
2.333333333333333,86.15717171717172
2.5,85.91105769230771
2.6666666666666665,85.51041666666669
2.833333333333333,85.10977564102565
3.0,84.70913461538463
3.1666666666666665,84.3084935897436
3.333333333333333,83.90499793473772
3.5,83.4919454770756
3.6666666666666665,83.07889301941348
3.833333333333333,82.66584056175135
4.0,82.25278810408923
4.166666666666666,82.17962962962962
4.333333333333333,82.64259259259258
4.5,83.10555555555554
4.666666666666666,83.5685185185185
4.833333333333333,84.03192488262908
5.0,84.5014084507042
5.166666666666666,84.97089201877931
5.333333333333333,85.44037558685442
5.5,85.90985915492953
5.666666666666666,86.74504379898562
5.833333333333333,87.66712770862142
6.0,88.58921161825721
6.166666666666666,89.511295527893
6.333333333333333,90.10444444444444
6.5,90.32666666666664
6.666666666666666,90.54888888888888
6.833333333333333,90.7711111111111
7.0,90.99333333333333
7.166666666666666,90.5854700854701
7.333333333333333,90.15811965811967
7.5,89.73076923076927
7.666666666666666,89.30341880341884
7.833333333333333,88.87991718426505
8.0,88.46583850931681
8.166666666666666,88.05175983436857
8.333333333333332,87.63768115942031
8.5,87.22360248447207
8.666666666666666,86.80881130507068
8.833333333333332,86.3931837073982
9.0,85.97755610972571
9.166666666666666,85.56192851205324
9.333333333333332,85.14630091438076
9.5,85.28235294117643
9.666666666666666,85.71808278867097
9.833333333333332,86.15381263616551
10.0,86.58954248366007
10.166666666666666,87.01361502347415
10.333333333333332,87.2483568075117
10.5,87.48309859154926
10.666666666666666,87.71784037558682
10.833333333333332,87.95258215962437
11.0,88.1976225854383
11.166666666666666,88.44526993561165
11.333333333333332,88.692917285785
11.5,88.94056463595835
11.666666666666666,89.40021063717737
11.833333333333332,89.92680358083193
12.0,90.45339652448648
12.166666666666666,90.97998946814104
12.333333333333332,92.72932717000484
