Time,ShortChannel
0.0,0.03886041969217525
0.16666666666666666,-0.0005730067382938623
0.3333333333333333,-0.04378129537468935
0.5,-0.06655612543101867
0.6666666666666666,-0.11323815312008922
0.8333333333333333,-0.14619377103509631
1.0,-0.18199441551248596
1.1666666666666665,-0.18865168116274575
1.3333333333333333,-0.18130969882374368
1.5,-0.2300314953451688
1.6666666666666665,-0.2518101225813567
1.8333333333333333,-0.25448649389764955
2.0,-0.24806425367439872
2.1666666666666665,-0.22893374390658033
2.333333333333333,-0.26522247610340965
2.5,-0.286980648073151
2.6666666666666665,-0.29975604549070123
2.833333333333333,-0.3169198140870731
3.0,-0.31011704569165527
3.1666666666666665,-0.34848811658466866
3.333333333333333,-0.36570672791262054
3.5,-0.3785020952499652
3.6666666666666665,-0.35635604938864746
3.833333333333333,-0.3456250333941872
4.0,-0.362337901484274
4.166666666666666,-0.3773556768727807
4.333333333333333,-0.38144906209287804
4.5,-0.3611326541699672
4.666666666666666,-0.3565444416813135
4.833333333333333,-0.3611547018834952
5.0,-0.3445341508410547
5.166666666666666,-0.3359390665346007
5.333333333333333,-0.3088302606924628
5.5,-0.3023743313751965
5.666666666666666,-0.28360798603014703
5.833333333333333,-0.2673637031092462
6.0,-0.2503914246125983
6.166666666666666,-0.24288485535427387
6.333333333333333,-0.23871978667847246
6.5,-0.2340651124120768
6.666666666666666,-0.2233014687012442
6.833333333333333,-0.2265141951194742
7.0,-0.24171290438370396
7.166666666666666,-0.2707513087890817
7.333333333333333,-0.29276576293276685
7.5,-0.28194853309671003
7.666666666666666,-0.32802361877115865
7.833333333333333,-0.3597260426612701
8.0,-0.3777015404502843
8.166666666666666,-0.3761658722836799
8.333333333333332,-0.38000026095371114
8.5,-0.4238956746881577
8.666666666666666,-0.43359641728472065
8.833333333333332,-0.4556210002497682
9.0,-0.4798664163030192
9.166666666666666,-0.5260004987336029
9.333333333333332,-0.5617460640747708
9.5,-0.6156625816396563
9.666666666666666,-0.6063627163401991
9.833333333333332,-0.6016776713698193
10.0,-0.6090678507289494
10.166666666666666,-0.611089239805617
10.333333333333332,-0.6231937272676897
10.5,-0.6446950950936837
10.666666666666666,-0.6496983876367606
10.833333333333332,-0.6508149280052851
11.0,-0.6479441832268162
11.166666666666666,-0.6573008607870329
11.333333333333332,-0.6493577425989534
11.5,-0.663186088316274
11.666666666666666,-0.6528684756022491
11.833333333333332,-0.6530651125767356
12.0,-0.6607846952251928
12.166666666666666,-0.6924152694312136
12.333333333333332,-0.7320859355783174
12.5,-0.7620763403507677
12.666666666666666,-0.7532805218897743
12.833333333333332,-0.7658336971340721
13.0,-0.7748645637321191
13.166666666666666,-0.809827383007408
13.333333333333332,-0.8190373628962545
13.5,-0.8416347466355106
13.666666666666666,-0.8209891719218598
13.833333333333332,-0.7925273287561979
14.0,-0.7556031797424452
14.166666666666666,-0.7345198973142821
14.333333333333332,-0.7077028780153837
14.5,-0.6754509082164144
14.666666666666666,-0.6496575687880337
14.833333333333332,-0.5983202064293508
15.0,-0.6166350147457111
15.166666666666666,-0.6120105973884079
15.333333333333332,-0.6424608678090934
15.5,-0.6417760649706037
15.666666666666666,-0.6593776385410762
15.833333333333332,-0.6870633047326069
16.0,-0.7313587250780834
16.166666666666664,-0.7822208405851483
16.333333333333332,-0.7898895205611673
16.5,-0.8338434112284291
16.666666666666664,-0.8399092340990598
16.833333333333332,-0.866335512485885
17.0,-0.8699758103332603
17.166666666666664,-0.8711368435021185
17.333333333333332,-0.8469071304101232
17.5,-0.823220401343012
17.666666666666664,-0.8125153537926825
17.833333333333332,-0.7876435149935922
18.0,-0.7659435429301495
18.166666666666664,-0.7475131897449346
18.333333333333332,-0.746586842511556
18.5,-0.754018652197919
18.666666666666664,-0.7622544500754821
18.833333333333332,-0.7807470760756156
19.0,-0.7964847913148512
19.166666666666664,-0.7716703613808154
19.333333333333332,-0.748637678737781
19.5,-0.7767681736194013
19.666666666666664,-0.754996258192101
19.833333333333332,-0.7246571828493757
20.0,-0.7172550413975248
20.166666666666664,-0.7302510629322387
20.333333333333332,-0.6695598025816476
20.5,-0.6404358343124543
20.666666666666664,-0.6490291944688976
20.833333333333332,-0.6808565124793861
21.0,-0.6782231789391957
21.166666666666664,-0.7405859408702138
21.333333333333332,-0.7604301963449757
21.5,-0.7789824594546648
