Time,RR
0.0,74.0
0.1666666666666666,74.1000400160064
0.3333333333333333,74.2000800320128
0.5,74.30012004801921
0.6666666666666666,74.40016006402561
0.8333333333333333,74.5009523809524
1.0,74.97714285714287
1.1666666666666663,75.45333333333333
1.3333333333333333,75.9295238095238
1.5,76.40571428571427
1.6666666666666663,76.74787878787879
1.8333333333333333,76.44484848484849
2.0,76.1418181818182
2.1666666666666665,75.83878787878788
2.333333333333333,75.53575757575759
2.5,75.18882211538462
2.6666666666666665,74.68802083333335
2.833333333333333,74.18721955128207
3.0,73.68641826923078
3.1666666666666665,73.1856169871795
3.333333333333333,72.68124741842216
3.5,72.1649318463445
3.6666666666666665,71.64861627426684
3.833333333333333,71.1323007021892
4.0,70.61598513011154
4.166666666666666,70.3
4.333333333333333,70.3
4.5,70.3
4.666666666666666,70.3
4.833333333333333,70.40375586854454
5.0,71.92957746478865
5.166666666666666,73.45539906103275
5.333333333333333,74.98122065727686
5.5,76.50704225352098
5.666666666666666,76.24121715076078
5.833333333333333,75.54965421853393
6.0,74.8580912863071
6.166666666666666,74.16652835408026
6.333333333333333,73.33000000000004
6.5,72.33000000000004
6.666666666666666,71.33000000000004
6.833333333333333,70.33000000000004
7.0,69.33000000000004
7.166666666666666,69.09273504273506
7.333333333333333,68.87905982905984
7.5,68.66538461538462
7.666666666666666,68.45170940170942
7.833333333333333,68.39006211180121
8.0,68.70062111801239
8.166666666666666,69.01118012422357
8.333333333333332,69.32173913043476
8.5,69.63229813664594
8.666666666666666,69.72352452202827
8.833333333333332,69.55727348295927
9.0,69.39102244389028
9.166666666666666,69.2247714048213
9.333333333333332,69.0585203657523
9.5,68.64705882352948
9.666666666666666,68.10239651416128
9.833333333333332,67.5577342047931
10.0,67.01307189542491
10.166666666666666,66.53403755868536
10.333333333333332,67.12089201877924
10.5,67.70774647887315
10.666666666666666,68.29460093896704
10.833333333333332,68.88145539906093
11.0,69.15809806835064
11.166666666666666,69.35621594848932
11.333333333333332,69.554333828628
11.5,69.75245170876669
11.666666666666666,70.60042127435474
11.833333333333332,71.65360716166386
12.0,72.70679304897295
12.166666666666666,73.75997893628208
12.333333333333332,74.78818695428848
12.5,75.81540832049288
12.666666666666666,76.84262968669731
12.833333333333332,77.73803357314164
13.0,76.82676258992821
13.166666666666666,75.91549160671478
13.333333333333332,75.00422062350135
13.5,74.09294964028793
13.666666666666666,73.5638852097131
13.833333333333332,73.07823399558507
14.0,72.59258278145704
14.166666666666666,72.106931567329
14.333333333333332,71.52758037225054
14.5,70.78730964467017
14.666666666666666,70.0470389170898
14.833333333333332,69.30676818950943
15.0,68.56649746192906
15.166666666666666,68.16359761295826
15.333333333333332,67.95046888320549
15.5,67.73734015345272
15.666666666666666,67.52421142369994
15.833333333333332,67.31108269394717
16.0,67.13520208604957
16.166666666666664,66.96136462407651
16.333333333333332,66.78752716210346
16.5,66.61368970013041
16.666666666666664,66.40698924731187
16.833333333333332,66.1381720430108
17.0,65.86935483870973
17.166666666666664,65.60053763440865
17.333333333333332,65.33172043010758
17.5,65.03893442622956
17.666666666666664,64.74294171220406
17.833333333333332,64.44694899817856
18.0,64.15095628415305
18.166666666666664,63.94304974430499
18.33333333333333,63.826824732682496
18.5,63.71059972105999
18.666666666666664,63.59437470943749
18.83333333333333,63.454391072295046
19.0,63.21179039301314
19.166666666666664,62.96918971373125
19.33333333333333,62.72658903444934
19.5,62.55038167938918
19.666666666666664,63.313740458015126
19.83333333333333,64.07709923664109
20.0,64.84045801526705
20.166666666666664,65.57039337474112
20.33333333333333,66.08799171842641
20.5,66.60559006211172
