Time,Systolic
0.0,133.0
0.1666666666666666,132.7999199679872
0.3333333333333333,132.5998399359744
0.5,132.39975990396158
0.6666666666666666,132.19967987194875
0.8333333333333333,132.00041407867496
1.0,132.20745341614906
1.1666666666666663,132.4144927536232
1.3333333333333333,132.6215320910973
1.5,132.82857142857142
1.6666666666666663,132.96525252525254
1.8333333333333333,132.76323232323233
2.0,132.56121212121212
2.1666666666666665,132.35919191919191
2.333333333333333,132.15717171717174
2.5,131.77764423076923
2.6666666666666665,130.77604166666669
2.833333333333333,129.77443910256414
3.0,128.77283653846158
3.1666666666666665,127.771233974359
3.333333333333333,126.76249483684433
3.5,125.729863692689
3.6666666666666665,124.69723254853368
3.833333333333333,123.6646014043784
4.0,122.63197026022308
4.166666666666666,122.17962962962962
4.333333333333333,122.64259259259258
4.5,123.10555555555554
4.666666666666666,123.5685185185185
4.833333333333333,124.12769953051637
5.0,126.0056338028168
5.166666666666666,127.88356807511724
5.333333333333333,129.7615023474177
5.5,131.63943661971814
5.666666666666666,132.37252189949282
5.833333333333333,132.8335638543107
6.0,133.2946058091286
6.166666666666666,133.75564776394648
6.333333333333333,133.79111111111112
6.5,133.3466666666667
6.666666666666666,132.90222222222224
6.833333333333333,132.4577777777778
7.0,132.01333333333335
7.166666666666666,131.58547008547012
7.333333333333333,131.1581196581197
7.5,130.73076923076923
7.666666666666666,130.30341880341885
7.833333333333333,129.9399585921325
8.0,129.7329192546584
8.166666666666666,129.52587991718428
8.333333333333332,129.31884057971016
8.5,129.11180124223603
8.666666666666666,128.71321695760602
8.833333333333332,128.0897755610973
9.0,127.46633416458856
9.166666666666666,126.84289276807984
9.333333333333332,126.21945137157113
9.5,125.8588235294118
9.666666666666666,125.64095860566452
9.833333333333332,125.42309368191724
10.0,125.20522875816997
10.166666666666666,125.05446009389657
10.333333333333332,125.9934272300468
10.5,126.93239436619704
10.666666666666666,127.87136150234726
10.833333333333332,128.81032863849748
11.0,129.0
11.166666666666666,129.0
11.333333333333332,129.0
11.5,129.0
11.666666666666666,130.20063191153213
11.833333333333332,131.78041074249575
12.0,133.36018957345945
12.166666666666666,134.93996840442313
12.333333333333332,137.7175141242933
12.5,140.54237288135545
12.666666666666666,143.3672316384176
12.833333333333332,146.04892086330923
13.0,146.76834532374087
13.166666666666666,147.48776978417254
13.333333333333332,148.2071942446042
